Id,Prediction
1,0
2,0
3,1
4,0
5,0
6,1
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,0
17,0
18,1
19,1
20,0
21,0
22,1
23,1
24,0
25,1
26,0
27,0
28,0
29,0
30,1
31,1
32,1
33,0
34,1
35,1
36,1
37,1
38,1
39,1
40,0
41,1
42,1
43,1
44,0
45,1
46,1
47,1
48,0
49,1
50,1
51,0
52,1
53,0
54,0
55,1
56,0
57,0
58,0
59,1
60,0
61,0
62,0
63,1
64,0
65,1
66,0
67,0
68,0
69,1
70,0
71,0
72,1
73,0
74,0
75,1
76,0
77,1
78,0
79,1
80,0
81,1
82,1
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,0
93,1
94,0
95,0
96,1
97,0
98,0
99,1
100,0
101,1
102,0
103,1
104,1
105,1
106,0
107,1
108,0
109,0
110,0
111,1
112,0
113,0
114,1
115,0
116,1
117,1
118,1
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,0
128,1
129,1
130,0
131,0
132,0
133,1
134,0
135,0
136,1
137,1
138,0
139,1
140,1
141,0
142,1
143,1
144,0
145,0
146,0
147,0
148,0
149,0
150,1
151,0
152,1
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,1
177,1
178,1
179,1
180,1
181,0
182,0
183,1
184,1
185,0
186,0
187,1
188,1
189,0
190,1
191,0
192,0
193,1
194,0
195,0
196,0
197,0
198,1
199,0
200,1
201,0
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,1
210,1
211,1
212,0
213,0
214,1
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,1
225,0
226,0
227,0
228,1
229,1
230,0
231,0
232,1
233,1
234,1
235,1
236,1
237,1
238,0
239,1
240,1
241,0
242,1
243,1
244,1
245,1
246,0
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,0
256,1
257,0
258,1
259,0
260,0
261,1
262,0
263,0
264,0
265,0
266,1
267,0
268,0
269,1
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
